Anther,Sepal,Ovary,Pod,Stigma,Flower,Leaf
GLYMA_09G214500,GLYMA_15G092200,GLYMA_08G311000,GLYMA_06G073200,GLYMA_19G126900,GLYMA_03G212300,GLYMA_20G114800
GLYMA_18G299200,GLYMA_20G051200,GLYMA_08G041800,GLYMA_11G141500,GLYMA_15G260300,GLYMA_15G043400,GLYMA_18G144900
GLYMA_20G249700,GLYMA_13G331300,GLYMA_06G116300,GLYMA_02G185900,GLYMA_05G212100,GLYMA_17G141100,GLYMA_19G084900
GLYMA_12G227700,GLYMA_17G197700,GLYMA_03G142700,GLYMA_09G181300,GLYMA_18G233000,GLYMA_10G081400,GLYMA_17G236600
GLYMA_19G209700,GLYMA_03G139200,GLYMA_19G189700,GLYMA_04G008200,GLYMA_11G140500,GLYMA_18G041900,GLYMA_15G268400
GLYMA_17G004600,GLYMA_03G229300,GLYMA_04G039400,GLYMA_14G070400,GLYMA_06G322700,GLYMA_06G147800,GLYMA_13G362200
GLYMA_20G113200,GLYMA_01G167300,GLYMA_06G087800,GLYMA_15G051700,GLYMA_04G096200,GLYMA_07G269600,GLYMA_02G032800
GLYMA_13G228500,GLYMA_04G045000,GLYMA_10G023800,GLYMA_13G014500,GLYMA_11G237800,GLYMA_12G100100,GLYMA_01G243300
GLYMA_16G160100,GLYMA_08G244700,GLYMA_10G103000,GLYMA_17G136000,GLYMA_07G149000,GLYMA_03G234800,GLYMA_03G231700
GLYMA_17G042800,GLYMA_18G017400,GLYMA_12G146100,GLYMA_05G196200,GLYMA_11G035300,GLYMA_07G031400,GLYMA_14G055100
GLYMA_10G106400,GLYMA_10G275400,GLYMA_05G010700,GLYMA_05G199100,GLYMA_08G209900,GLYMA_02G294100,GLYMA_18G237400
GLYMA_16G050100,GLYMA_07G093100,GLYMA_16G052000,GLYMA_15G230600,GLYMA_02G279300,GLYMA_19G160400,GLYMA_20G129400
GLYMA_07G051600,GLYMA_16G005700,GLYMA_02G175400,GLYMA_01G223400,GLYMA_11G174500,GLYMA_08G216700,GLYMA_04G098600
GLYMA_15G168600,GLYMA_02G159200,GLYMA_04G145400,GLYMA_09G234600,GLYMA_15G198600,GLYMA_06G277600,GLYMA_07G198400
GLYMA_18G099000,GLYMA_08G114200,GLYMA_03G256600,GLYMA_14G055200,GLYMA_16G156900,GLYMA_15G248500,GLYMA_16G146000
GLYMA_10G108600,GLYMA_02G288400,GLYMA_17G245000,GLYMA_09G060600,GLYMA_20G103900,GLYMA_03G037900,GLYMA_03G259600
GLYMA_03G012000,GLYMA_11G131700,GLYMA_18G139000,GLYMA_17G041600,GLYMA_02G021700,GLYMA_U043400,GLYMA_02G149600
GLYMA_02G134400,GLYMA_04G104400,GLYMA_19G009300,GLYMA_12G028300,GLYMA_10G243800,GLYMA_11G042800,GLYMA_12G129600
GLYMA_13G357300,GLYMA_02G090800,GLYMA_02G119500,GLYMA_17G143300,GLYMA_19G159200,GLYMA_01G044200,GLYMA_11G244600
GLYMA_03G242900,GLYMA_06G202500,GLYMA_04G246200,GLYMA_06G000500,GLYMA_10G258700,GLYMA_03G190600,GLYMA_05G039500
GLYMA_17G104500,GLYMA_12G007600,GLYMA_18G027000,GLYMA_14G182100,GLYMA_11G027200,GLYMA_19G132200,GLYMA_18G288000
GLYMA_10G288800,GLYMA_07G256800,GLYMA_06G321900,GLYMA_01G111900,GLYMA_18G244500,GLYMA_16G156400,GLYMA_12G026700
GLYMA_01G046200,GLYMA_12G103500,GLYMA_08G259500,GLYMA_05G147300,GLYMA_07G115700,GLYMA_13G343900,GLYMA_08G178500
GLYMA_10G052000,GLYMA_16G155100,ENSRNA050003325,GLYMA_01G179300,GLYMA_14G003200,GLYMA_14G041200,GLYMA_07G244600
